bootstrap_sample,selected_trace_indices,fit_start_ns,fit_stop_ns,ambient_temperature_K,S_e_mW_per_K,C_th_pJ_per_K,tau_th_ns,fit_rmse_K
34.0,"2,0,2",13.0,33.0,314.3357128861996,0.003556360973323901,0.06875246467533172,19.33225147588807,1.3021867126847884
35.0,"0,0,2",15.0,33.0,314.54227970586345,0.0038541281193052415,0.055837352744266,14.487674258823404,1.0227462100324063
36.0,"0,2,2",17.0,34.0,314.48488053553945,0.004103654958454976,0.052445411358283324,12.78017082070394,1.0767382397888803
37.0,"0,2,2",13.0,33.0,314.31274330402397,0.003681005528567494,0.049825304420221476,13.535786358791906,1.4947381278833485
38.0,"0,2,0",15.0,34.0,314.30292889944116,0.003625259728522507,0.05322633557311088,14.682075095017685,1.065453050530351
39.0,"1,0,1",16.0,35.0,314.52652133803815,0.003749856828869441,0.04789803495166203,12.773296991742214,1.025021275765686
40.0,"0,0,2",13.0,36.0,314.51472970072035,0.003639375091237631,0.06925125172094478,19.028335905160773,1.3772254055348843
41.0,"0,1,2",15.0,34.0,314.4059348663835,0.0035931620844591753,0.045183051310320424,12.574732296586935,1.0984847899783703
42.0,"0,0,1",17.0,36.0,314.5364494630618,0.003848606059386777,0.045361063815303346,11.786361897099704,1.0854936703664695
43.0,"0,0,1",14.0,37.0,314.4126233855638,0.004013285690833269,0.025730021703201666,6.411211083719136,1.602023531392536
44.0,"0,0,2",16.0,34.0,314.3270900840052,0.003748985294236796,0.051789600379233754,13.814298087231329,1.0934311790726665
45.0,"2,2,0",14.0,33.0,314.2575622016429,0.003884837447966977,0.04785260421116514,12.317788028996551,1.359031996649742
46.0,"2,0,1",17.0,36.0,314.47892381377306,0.0035344319345865373,0.033842357201895185,9.575048502342742,1.1419322303262354
47.0,"1,0,1",16.0,33.0,314.39257629360105,0.003716598629400937,0.0505432500633147,13.599329683727928,0.9216345599956565
48.0,"2,2,1",13.0,35.0,314.4089541508329,0.003508804082255149,0.04799912580119921,13.679625500877101,1.2103961163692316
49.0,"1,1,1",13.0,33.0,314.288846998901,0.00346195309211227,0.053099729915908174,15.338084746697131,0.9771349244355318
50.0,"2,1,1",16.0,33.0,314.29968334401786,0.0036110014151549334,0.06736397123889017,18.65520488476459,0.9147366446520959
51.0,"0,0,2",14.0,33.0,314.4590292244246,0.0036897041276309508,0.04769973055058234,12.927792825819049,1.1468115551673428
52.0,"0,0,2",14.0,36.0,314.4856215045905,0.003569003131287402,0.06175850843681606,17.30413400184905,1.60932217866634
53.0,"1,2,2",15.0,36.0,314.51016447347087,0.0038383467134034547,0.06442781916222007,16.785304708727587,1.1292357498840508
54.0,"0,2,2",13.0,33.0,314.3921824499767,0.003958519777378507,0.07190857185071585,18.165520420447827,1.6238015792544696
55.0,"0,1,0",15.0,34.0,314.3371840848829,0.0037282137236645994,0.03112699824235494,8.349038051326913,1.1059888054806704
56.0,"1,0,2",14.0,37.0,314.46004456405234,0.0036497632927085734,0.021655103710155794,5.933289907709342,1.818144229628612
57.0,"1,0,1",16.0,33.0,314.49790120280767,0.0038479884788253206,0.058258774834567616,15.140059580519413,1.082004208750837
58.0,"1,2,0",13.0,36.0,314.49510515111314,0.003439224968866422,0.043910729617061266,12.767623524068089,1.4620711124091283
59.0,"1,1,0",14.0,37.0,314.4590055783103,0.003527321854133314,0.02806510267728486,7.956490458730946,1.2233913724403143
60.0,"1,0,1",15.0,36.0,314.3409758959977,0.003688904685338499,0.050196100935937994,13.607318490890185,1.2812907978562162
61.0,"2,2,1",15.0,34.0,314.2959725690872,0.0035650518236300653,0.040999781953339066,11.500472919238408,1.1269205877114097
62.0,"2,1,0",15.0,37.0,314.27801545234934,0.0036673426666848146,0.06617723620502389,18.0450103030177,1.294317857376957
63.0,"2,1,1",13.0,34.0,314.3741787716274,0.0035754707030535905,0.05405125748358919,15.117242447946035,1.195609518248517
64.0,"1,0,2",17.0,33.0,314.4427733196942,0.0036487402567067138,0.05908552709241647,16.19340455484929,1.1822018360271627
65.0,"1,1,1",14.0,34.0,314.54338141100544,0.003726419828093035,0.05765016392451933,15.470657248520851,1.1485333360362782
66.0,"1,1,1",17.0,33.0,314.48342171618503,0.003796820668247582,0.07266500608014469,19.13838245978658,0.957718279372133
67.0,"0,1,1",13.0,36.0,314.4863229046844,0.003485751407188421,0.07929581076483787,22.74855590714578,1.2847772389840049
68.0,"0,2,1",13.0,37.0,314.39240715043195,0.003684324939752032,0.07071860809385984,19.19445468309303,1.759810985244157
69.0,"1,1,2",13.0,33.0,314.51016447347087,0.0038383467134034547,0.055296985766200825,14.40645931570082,1.2147750810277638
70.0,"2,0,1",14.0,35.0,314.28664785191523,0.004091467861068216,0.03237572988278002,7.9129864836155015,1.4137395245092528
71.0,"2,0,0",17.0,34.0,314.275328527912,0.003906978036967526,0.032585710405932,8.340387403668133,1.2860973091727892
72.0,"2,0,0",15.0,37.0,314.4075882143218,0.0037538369019747622,0.05114272568920448,13.624120339991352,1.3412672677947872
73.0,"0,0,1",13.0,37.0,314.4995590351522,0.0038996075582614074,0.02943220330633031,7.547478269698579,1.4941136659835068
74.0,"1,1,0",17.0,35.0,314.47934995185136,0.003642613411810262,0.024477905103864467,6.719874534174005,1.1613387024517026
75.0,"2,1,0",13.0,35.0,314.4600551228433,0.0035638699583307133,0.04267929476689469,11.97554772365637,1.2665091047008186
76.0,"0,0,2",13.0,33.0,314.54840389924584,0.00360772456804362,0.04022832739949618,11.150609377397956,1.328443008390148
77.0,"1,0,2",13.0,33.0,314.45385613111284,0.003578973471464568,0.08328779643487802,23.27142045028779,1.6202167923507187
78.0,"1,2,1",16.0,36.0,314.5085480634494,0.0034139953322511714,0.03914585317047978,11.466287841895554,1.1177647284849384
79.0,"0,0,0",16.0,34.0,314.4590055783103,0.003527321854133314,0.03771105605918923,10.691129876622808,1.2221352428066738
80.0,"1,2,2",15.0,37.0,314.2728389567169,0.0035916465879322094,0.06619423936414845,18.43005366579175,1.4545566692681617
81.0,"1,2,2",14.0,35.0,314.49043849487043,0.003666381974630254,0.03552641492079154,9.689774597032896,1.1168285088438268
82.0,"2,2,0",17.0,34.0,314.306959256422,0.003598965095953995,0.04678587971327268,12.999814798390235,1.0763398309023322
83.0,"1,1,1",17.0,33.0,314.28791902016354,0.003640792386985679,0.049338010839201446,13.551448584534604,0.7239694360500591
84.0,"2,2,0",13.0,37.0,314.31134317850695,0.0037224545672099665,0.029485860354974015,7.921079981662232,1.4639951863971576
