I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,pulse_turn_count,n_cycles,V_pp_mV,V_std_mV,baseline_mean_mV,plateau_mean_mV,plateau_std_mV,onset_overshoot_mV,onset_undershoot_mV,turnoff_undershoot_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
650.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,3.0437206263221697,0.6894475589620467,0.0,84.33198327807074,0.13185044985677152,2.279380385928505,84.33198327807074,84.33092055465777,3.5712992979100506,0.6933962893550051,inf,inf,0.03208754686056472,0.0,0.0,0.0,0.06966590941308812
850.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,5.468771595571894,1.5520247476109685,0.0,106.54297572829277,0.24453457258695954,5.247204825212194,106.54297572829277,106.54187295721626,3.5712992979100506,0.7116067941931243,inf,inf,0.03188493403415935,0.0,0.0,0.0,0.06965223304730575
1050.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,10.138449620014299,2.813880368079587,0.0,126.35878861156115,0.3676692883856879,9.817922122471487,126.35878861156115,126.35775506148372,3.5712992979100506,0.7200825185638219,inf,inf,0.023648333911537003,0.0,0.0,0.0,0.06909626253902874
1250.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,16.448775797268013,4.405894352650395,0.0,143.73469640972306,0.4789778046698501,16.047732816690058,143.73469640972306,143.73379667749188,3.5712992979100506,0.7252368760026695,inf,inf,0.017249516537885454,0.0,0.0,0.0,0.06866434236630728
1450.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,24.316101043207055,6.237087975371215,0.0,158.77094326391116,0.5626443592444882,23.863610904440776,158.77094326391116,158.77020241352207,3.5712992979100506,0.7291693788000712,inf,inf,0.012406329308976161,0.0,0.0,0.0,0.06989122360391042
1650.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,33.584160952466874,8.208820753335775,0.0,171.65734916968844,0.6122085902558132,33.110578546318465,171.65734916968844,171.65676472007374,3.5712992979100506,0.7327459713013383,inf,inf,0.008837964724773458,0.0,0.0,0.0,0.07298686056181028
1850.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,44.063217122685955,10.227110807024934,0.0,182.62652375453848,0.6292220662430612,43.59394664113498,182.62652375453848,182.6260778543164,3.5712992979100506,0.7363634349419328,inf,inf,0.006267589590777567,0.0,0.0,0.0,0.07658582046154443
50.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,0.0,0.0,0.0,0.36150872114386967,0.03944974803288613,0.0,6.342319441562501,6.497494591721346e-07,-0.0005030288179099784,6.342319441562501,6.342178853503807,3.5715463245803183,0.8129092633204724,inf,inf,1.996188739511487e-09,0.0,0.0,0.0,0.06750000013474274
250.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,0.0,0.0,0.0,1.7518119742167322,0.18977384578018078,0.0,31.604881903467476,2.56904125905163e-06,-0.0021783886344977077,31.604881903467476,31.604183721389635,3.5715463245803183,0.8144831729878536,inf,inf,1.4259207051499109e-09,0.0,0.0,0.0,0.06750000009624965
450.0,55.24176272891703,3.958653777938451,1.1073898639141624,334.41216460943184,338.5985350190875,26.974731599508065,18.197838136784316,1.4901317226962452,1.005280656531477,0.030158419695944308,0.030158419695944308,0.03,0.020238760934084166,0.0021952721603520106,19894.941646451316,1.0,0.0,0.0,0.0,2.9267414522494164,0.31156984091037465,0.0,56.44821367727223,2.5821704240060515e-06,-0.0027501631547082184,56.44821367727223,56.44697646552601,3.5715463245803183,0.8182666430492481,inf,inf,6.110430463059054e-10,0.0,0.0,0.0,0.0675000000412454
