evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_relative_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
358,local,7.11482245781292,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,40.608528880768354,1.3471849645217007,1.0290976690456648,12.609403751649179,1.6370559462474845,0.7227000463746431,4.354095917013856,0.0,0.0,2.581428824524243,1.4523370049087116,0.0,38.975691012816384,352,relaxed
359,local,7.193803575471896,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,417.11407651122437,1.4024245923241412,1.0143672854475294,13.998204263812971,1.7248780855027595,0.7181291268292684,3.8003373413636425,0.1,0.05,2.9239011809323436,1.4511714132048614,0.0,38.975691012816384,352,relaxed
360,local,7.098600472286685,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,39.66924899413875,1.3572344991780272,1.0384830848818745,12.604292447945872,1.630953575199613,0.7257716550437404,3.901477594689891,0.0,0.0,2.611262093217603,1.4527293844499274,0.0,38.975691012816384,352,relaxed
361,local,7.100090184119025,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,165.4249437095645,1.3485636017947145,1.0400663905780716,12.613125017144439,1.6322261081566805,0.723278201106544,4.263893118235201,0.05,0.0,2.6215265833445627,1.452698584518075,0.0,38.975691012816384,352,relaxed
362,local,7.092274676913454,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,289.9660248562489,1.3378240295952941,1.0143896578761635,12.563558753564378,1.6260927454343481,0.6995250823773916,4.108121458683172,0.1,0.0,2.591065220409424,1.4528316790205826,0.0,38.975691012816384,352,relaxed
363,local,7.096184233459987,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,39.52840422264152,1.3573544001276616,1.038378794072575,12.632350234256126,1.6314322225562343,0.7204518090110431,3.823305975164888,0.0,0.0,2.5944458595618642,1.4527726305142135,0.0,38.975691012816384,352,relaxed
364,local,7.094690915740151,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,39.74619172940264,1.3440080016227094,1.039037431954057,12.540116903651343,1.6256300029711113,0.7274105910180447,4.024801169873324,0.0,0.0,2.560071059837326,1.4527896998363732,0.0,38.975691012816384,352,relaxed
365,local,7.096834156936316,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,39.80241317923834,1.351099117833698,1.038000446782795,12.623820183803698,1.6312561523774964,0.7268291860547527,3.9547044301500875,0.0,0.0,2.6159745606571634,1.4527587817610648,0.0,38.975691012816384,352,relaxed
366,local,7.09615089626,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,39.61420622655282,1.3565579480964713,1.0383252386499233,12.593033561445635,1.6289598213832108,0.7239115842804902,3.901477594689891,0.0,0.0,2.5876843055148333,1.4527739638884076,0.0,38.975691012816384,352,relaxed
367,local,7.096432482137859,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,39.713208429513244,1.357803593328291,1.0391953487317356,12.636392769354654,1.6316210928418002,0.7198371981862188,3.901477594689891,0.0,0.0,2.6169105912280903,1.452766855404696,0.0,38.975691012816384,352,relaxed
