evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
56,global,0.21536155565282045,0.03427403200037743,0.0038714580103186907,314.4268155894603,333.8083378340928,6.832950407616268,0.2843349303842097,1.167411458060006,0.9087228941879688,0.4231550487984812,0.9584021140294027,0.7976954162160332,0.6719758511656906,1.8823529411764706,0.47058823529411764,0.6452707626185891,1.0057093735664324,0.8730628482670495,192,constrained
57,global,0.3120118084484757,0.06059120150955272,0.0035919032703919168,314.3319377821791,333.3572853830111,6.881066671162387,0.3076147192220025,1.7687025804230352,1.7762606345323428,0.6143984094476437,0.9553769973865146,6.287981802079762,0.6254531149833233,1.8823529411764706,0.47058823529411764,0.9679363039541213,0.9496347140492025,0.8730628482670495,192,constrained
58,global,0.37320246232892945,0.07494126413523959,0.0034455845084464887,314.3867948827807,333.4718758176227,7.208534065232129,0.30513065311497034,0.20748592129649923,0.9325241518445657,0.5208561853656507,0.7786823548954862,0.7449913012425227,0.6244638230296553,1.8823529411764706,0.47058823529411764,1.1325685973551345,1.6231596115574503,0.8730628482670495,192,constrained
59,global,0.2955437767059838,0.04070411551090329,0.003613869969173493,314.3231621043748,333.30080690377173,6.690187431509489,0.29628584579431744,1.5508804854053981,1.5777970449918686,0.6914705143189036,1.14278619515211,4.75115641514651,0.6040930999241656,1.8823529411764706,0.47058823529411764,0.7252881663972067,0.8396420562264376,0.8730628482670495,192,constrained
60,global,0.08581411170757235,0.04162965802630354,0.0039124739161888016,314.30785459353035,333.2368702047311,6.986865014165564,0.3131822483049518,0.8093435922795187,0.9363895228311575,0.44982646421117667,0.9662348381679439,0.8513498466930798,0.7210799297179112,1.8823529411764706,0.47058823529411764,0.7300867510660495,1.0279338726899987,0.8730628482670495,192,constrained
61,global,0.22904717915128447,0.052774524178643645,0.0037252712672349747,314.3018573165175,333.36194126516205,7.037145344919415,0.3048514057502593,1.4592585712036832,1.0227568337170823,0.512632201701142,0.9175596698862796,1.5362936599506294,0.6583102228329847,1.8823529411764706,0.47058823529411764,0.8745819402589898,0.687740305264479,0.8730628482670495,192,constrained
62,global,0.18872154755651496,0.05194806612303288,0.003835235607704481,314.4328791535192,333.2463117841304,6.999890926004789,0.29032378720013735,0.9955242370405405,0.8992672731418647,0.4513935676184749,0.8754255607578225,0.8409094584645893,0.7130612459425776,1.8823529411764706,0.47058823529411764,0.8510415974072726,0.5768799445856836,0.8730628482670495,192,constrained
63,global,0.38748615205824055,0.02253337965649454,0.0037188528258411714,314.29553309644876,333.4808689572706,7.041189122809732,0.29910971795099983,0.510558251280787,0.9009293002049257,0.46501775381727384,0.860530719129573,0.842752420284294,0.7337838515840834,1.8823529411764706,0.47058823529411764,0.5123826994299288,0.8861653031584172,0.8730628482670495,192,constrained
64,global,0.07723907770374376,0.06026664613501468,0.0035567380433404053,314.3405825562902,333.51273031196826,6.7495790090502545,0.30441295733546875,0.9917107163910901,0.8721807379950917,0.4991185340007371,0.792019972408429,0.8126971325552735,0.6659361158337814,1.8823529411764706,0.47058823529411764,0.9325082970332651,0.32241739794709257,0.8721807379950917,192,constrained
65,global,0.08535925089532301,0.05879356221043139,0.004041860804923601,314.3204154666072,333.31563101131906,7.092241070266114,0.30258054542901086,0.9917107163910901,0.9584687550599967,0.4235608072683375,1.061702397118497,0.8206689536143136,0.6959139434123036,1.8823529411764706,0.47058823529411764,0.9475465947554542,1.1427917036996442,0.8721807379950917,192,constrained
66,global,0.27372239016535066,0.06910002655148614,0.00346040708423763,314.29720674039237,333.4921398502742,7.0152493231382085,0.29200249388752897,1.813208888636161,0.9870203173136644,0.5627059950710165,0.9087615147392064,0.9786851022744727,0.6288819457514954,1.8823529411764706,0.47058823529411764,1.054009234723607,1.3895906341132371,0.8721807379950917,192,constrained
67,global,0.2666229775333307,0.027557508139810054,0.003600851912777504,314.46603427811436,333.6596720859032,7.13709752649237,0.3082767226820432,0.9925371274900171,0.9047344643548951,0.4828014409458639,0.8355639435206125,0.8558326341401831,0.7516731361883279,1.8823529411764706,0.47058823529411764,0.5578372493257068,0.8526378948031108,0.8721807379950917,192,constrained
68,global,0.3461298131807232,0.07685396936332672,0.003845320724802935,314.2937051239297,333.3952907356905,6.671630607073448,0.2989737017975096,1.1690672843463665,0.915690723340658,0.4546880435171109,0.8986079794814106,0.7362315191446123,0.6227032766232715,1.8823529411764706,0.47058823529411764,1.1603033206277997,1.0752873727699757,0.8721807379950917,192,constrained
69,global,0.20254303077880612,0.02221236371864893,0.003767461660618663,314.4168458769681,333.44857723147743,6.830031201051178,0.30142930654514377,0.8269534228958115,0.8787612631989269,0.4647377690317249,0.8660857667773936,0.8493624533855878,0.7535132682216615,1.8823529411764706,0.47058823529411764,0.4835009319459185,0.37156772985675107,0.8721807379950917,192,constrained
70,global,0.1595306341759412,0.05779462183071207,0.0034495363395246914,314.3834087903825,333.3121957110098,7.253058255615944,0.3083922893788302,0.31791810183011804,0.9313258742118427,0.5238547505122298,0.7773358159094994,0.816685226308545,0.6595329585128634,1.8823529411764706,0.47058823529411764,0.910237391891907,1.4946279780761573,0.8721807379950917,192,constrained
71,global,0.38831291618247143,0.09062021444069568,0.003488317992926253,314.27415988226545,333.42763163020834,7.036027470854742,0.31369414611345015,0.2504119562916658,0.9484733839348556,0.5170872801059021,0.8005426831512408,0.6400550492076276,0.596816627989844,1.8823529411764706,0.47058823529411764,1.2977350182994725,2.1023624816590063,0.8721807379950917,192,constrained
72,global,0.22161043396704527,0.08002955465503124,0.0034856254438745704,314.25273448243826,333.5473790230471,6.789836486110664,0.30266240342290684,1.2260310865332578,0.902889927942961,0.5097945699023078,0.7770262187590805,0.7058489502897444,0.6172108025302689,1.8823529411764706,0.47058823529411764,1.166339179098136,1.1867616725378431,0.8721807379950917,192,constrained
73,global,0.023702425470427668,0.049710748437028454,0.0036897920325958994,314.4163704560733,333.26097249727064,6.7589186142077615,0.3056561626715274,0.8489200906171618,0.8804620667199313,0.48180139564801044,0.8184400519811221,0.844607201429428,0.710759948861809,1.8823529411764706,0.47058823529411764,0.8010831446473446,0.35285565424339377,0.8721807379950917,192,constrained
74,global,0.10081414203387963,0.07304149447059965,0.003778992106712594,314.3044795588069,333.422283363121,6.689546477004622,0.3002238748898263,0.4232348435467652,0.9035729179832108,0.4665483856292584,0.871404771118515,0.7485586911866776,0.6292916675055615,1.8823529411764706,0.47058823529411764,1.0846248391499917,0.9132345233287668,0.8721807379950917,192,constrained
75,global,0.08536428955156776,0.06917986999844487,0.003750008822016856,314.3408587413488,333.55394845128,7.041085758990656,0.30726357647492486,0.5146232880682583,0.894184411022883,0.46550738211855724,0.8854117375773893,0.7612586520112989,0.6369113749698163,1.8823529411764706,0.47058823529411764,1.0498264113146698,0.6474399552982123,0.8721807379950917,192,constrained
76,global,0.0746048046540326,0.07813982382491476,0.004010899183157032,314.3754904333082,333.5690130189223,6.789165111162666,0.31069271113053354,1.005938371532875,0.9387737968122047,0.4317179584700219,1.0478509695136493,0.7140134224668158,0.620306763820979,1.8823529411764706,0.47058823529411764,1.1552895329961974,1.110714838332181,0.8721807379950917,192,constrained
77,global,0.19618400230872385,0.04608354811701157,0.004002757362806718,314.2941909579188,333.23819181501074,6.9943715628972285,0.29126899369569353,1.340838584615612,1.156664536289788,0.4182618998632428,0.9358577685183234,2.3597010545561674,0.6620694694742583,1.8823529411764706,0.47058823529411764,0.7984734332731813,1.2647917527873895,0.8721807379950917,192,constrained
