bootstrap_sample,effective_resistance_ohm,power_uW,inferred_temperature_K,ambient_temperature_K,delta_temperature_K,S_e_uW_per_K
215.0,1680.8807120679378,60.65552902631116,331.63152028878943,314.3448201010012,17.286700187788256,3.508797420409923
216.0,1675.682842003034,60.672148581863155,331.7341770261793,314.40393980714816,17.33023721903112,3.500941609456812
217.0,1680.4076050375775,60.69617598754483,330.6646656335518,314.42576035536126,16.238905278190543,3.7377012149373186
218.0,1682.4887977653902,60.62117883101849,331.55865458456174,314.3844204322724,17.17423415228933,3.5297747948159697
219.0,1681.3560902071492,60.69870378790712,331.94717788201405,314.3001185711363,17.64705931087775,3.4395931196588707
220.0,1679.782245560383,60.409918187451716,330.97654826120396,314.2974676302533,16.679080630950637,3.6218973649753625
221.0,1677.542527758455,60.55758167770207,332.1104615497554,314.2832528057788,17.827208743976655,3.3969188641582986
222.0,1680.7253524648288,60.594839781121806,330.8775253488559,314.4191173519982,16.458407996857716,3.681695082093647
223.0,1679.0354266421664,60.65552902631116,330.9104976849139,314.30226413171874,16.608233553195134,3.6521360825060225
224.0,1683.7630739445467,60.63797134395693,331.5129993053249,314.33391848561956,17.179080819705348,3.5297564509040464
225.0,1679.0354266421664,60.641336933559245,331.4995328810395,314.54281222240775,16.956720658631752,3.57624201957293
226.0,1681.9392077013001,60.476824486414095,331.10012074985013,314.3076463572979,16.792474392552208,3.6014242494981414
227.0,1681.3560902071492,60.681958232649976,330.4062517768988,314.507522532783,15.89872924411577,3.8167804043275213
