I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,n_cycles,V_pp_mV,V_std_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
1050.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0,0.0,2841.2491205002552,811.4823693366083,3.571417746809289,0.7464435508912097,inf,inf,0.38180582309261274,1.0,0.0,0.0,0.0
1250.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0,0.0,3306.355729415175,949.2436949842917,3.571417746809289,0.7452112318517384,inf,inf,0.3549337710053584,1.0,0.0,0.0,0.0
1450.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0,0.0,3729.447482611744,1078.0521698008906,3.571417746809289,0.743656339434572,inf,inf,0.32240592548342356,1.0,0.0,0.0,0.0
1650.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,0.0,0.0,4102.1065857346075,1196.4029096686659,3.571417746809289,0.7417267426495611,inf,inf,0.28378182743928404,1.0,0.0,0.0,0.0
1850.0,43.222904876539246,96.71100133514477,0.13706847007416811,298.0,3978.853826544875,18.197838136784316,171.9776204624033,0.7865634267448867,0.0235969028023466,0.0235969028023466,0.03,0.0001372091481374183,0.0017176504709061427,12713.532895095303,1.0,1.0,0.0,4428.7374221204245,1302.8554147756902,3.571417746809289,0.7393658431116118,inf,inf,0.242340864410225,1.0,0.0,0.0,0.0
50.0,113.70987570088403,13.565113508360799,0.04715785165675895,319.11915521716475,2209.8747147219347,18.197838136784316,251.28457912555777,2.0692739125585518,0.06207821737675655,0.06207821737675655,0.03,0.00024704348190717396,0.0045187574065693095,4832.612994978277,1.0,0.0,0.0,78.49013329608614,22.387381006896213,3.571776049503855,0.7507307583262872,inf,inf,0.7062576922258076,0.0,0.0,0.0,0.136228842211833
250.0,113.70987570088403,13.565113508360799,0.04715785165675895,319.11915521716475,2209.8747147219347,18.197838136784316,251.28457912555777,2.0692739125585518,0.06207821737675655,0.06207821737675655,0.03,0.00024704348190717396,0.0045187574065693095,4832.612994978277,1.0,0.0,0.0,391.51016483148146,111.71497551065816,3.571776049503855,0.75065043581195,inf,inf,0.7027858930770945,0.0,0.0,0.0,0.20493804778270386
450.0,113.70987570088403,13.565113508360799,0.04715785165675895,319.11915521716475,2209.8747147219347,18.197838136784316,251.28457912555777,2.0692739125585518,0.06207821737675655,0.06207821737675655,0.03,0.00024704348190717396,0.0045187574065693095,4832.612994978277,1.0,0.0,0.0,700.703596807273,200.14379837912617,3.571776049503855,0.7504559849927108,inf,inf,0.6945253943251619,0.0,0.0,0.0,0.20438046411694843
650.0,113.70987570088403,13.565113508360799,0.04715785165675895,319.11915521716475,2209.8747147219347,18.197838136784316,251.28457912555777,2.0692739125585518,0.06207821737675655,0.06207821737675655,0.03,0.00024704348190717396,0.0045187574065693095,4832.612994978277,1.0,0.0,0.0,1002.7424006366304,286.90971635050647,3.571776049503855,0.750129686963228,inf,inf,0.6810777858623559,0.0,0.0,0.0,0.20347275054570904
850.0,113.70987570088403,13.565113508360799,0.04715785165675895,319.11915521716475,2209.8747147219347,18.197838136784316,251.28457912555777,2.0692739125585518,0.06207821737675655,0.06207821737675655,0.03,0.00024704348190717396,0.0045187574065693095,4832.612994978277,1.0,0.0,0.0,1293.8060857258179,371.1675971932666,3.571776049503855,0.7496411691501962,inf,inf,0.6617708979498045,0.0,0.0,0.0,0.20216953561161183
