I_target_uA,time_ns,I_in_uA,V_vo2_mV,T_K,R_ohm,P_uW
0.0,4957.0,0.0,0.0,326.59082,47998.758,0.0
0.0,4969.0,0.0,0.0,326.99817,47077.16,0.0
0.0,4981.0,0.0,0.0,327.95367,44993.36,0.0
0.0,4993.0,0.0,0.0,326.11078,49112.855,0.0
0.0,5006.0,0.0,0.0,323.67316,55299.516,0.0
0.0,5018.0,0.0,0.0,322.17078,59521.938,0.0
0.0,5030.0,0.0,0.0,324.34344,53504.945,0.0
0.0,5042.0,0.0,0.0,325.14975,51480.19,0.0
0.0,5054.0,0.0,0.0,325.27475,51179.703,0.0
0.0,5066.0,0.0,0.0,329.42252,42034.004,0.0
0.0,5078.0,0.0,0.0,328.92133,43030.766,0.0
0.0,5090.0,0.0,0.0,326.72717,47730.145,0.0
0.0,5102.0,0.0,0.0,325.0303,51776.91,0.0
0.0,5114.0,0.0,0.0,324.36298,53482.96,0.0
0.0,5126.0,0.0,0.0,327.68298,45614.617,0.0
0.0,5138.0,0.0,0.0,326.37326,48543.387,0.0
0.0,5150.0,0.0,0.0,327.33057,46381.258,0.0
0.0,5162.0,0.0,0.0,329.9129,41084.55,0.0
0.0,5174.0,0.0,0.0,328.8222,43230.41,0.0
0.0,5186.0,0.0,0.0,330.58255,39826.363,0.0
0.0,5198.0,0.0,0.0,332.07742,37178.508,0.0
0.0,5210.0,0.0,0.0,328.24966,44407.516,0.0
0.0,5222.0,0.0,0.0,330.12262,40683.074,0.0
0.0,5234.0,0.0,0.0,327.16183,46750.895,0.0
0.0,5246.0,0.0,0.0,325.76053,49984.48,0.0
0.0,5258.0,0.0,0.0,327.1992,46668.695,0.0
0.0,5270.0,0.0,0.0,324.8687,52176.91,0.0
0.0,5282.0,0.0,0.0,325.87103,49575.008,0.0
0.0,5294.0,0.0,0.0,327.83072,45242.145,0.0
0.0,5306.0,0.0,0.0,326.68143,47781.67,0.0
0.0,5318.0,0.0,0.0,326.88504,47319.523,0.0
0.0,5330.0,0.0,0.0,324.36273,53422.688,0.0
0.0,5342.0,0.0,0.0,325.71817,50034.605,0.0
