mode,evaluation,elapsed_s,loss,mean,amplitude,robust,frequency,persistence,waveform,static_rmse_log10,screened,outside_domain,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm
dynamic_diagnostic,278,389.68388312499883,33.51430184146952,8.345415491021091,3.4433615188886817,2.804314233706082,2.8565551726724694,0.7732234554305513,32.18677333289607,0.14874634497321554,False,False,1.2535975440332252,0.0025693842714078477,31.804349752835115,312.8424178621633,335.7194666840454,7.252035146198819,0.2961572023669752,1.252829550038785,2409.5830434512172,3109.29587612098,11.843320761055784
dynamic_diagnostic,279,391.2895415419989,41.022197617893525,11.700287642438688,3.6231291082854202,3.1178456953226723,0.5801786116494784,1.0323582638170083,38.365909134246465,0.2104078770565661,False,False,2.4879140854260084,0.0034851849230768442,18.83280534093977,313.0522789760293,337.90430970001603,5.100223954493502,0.4946823622456117,0.3260868876266274,2458.027526913733,2589.991957205052,20.81812871840766
dynamic_diagnostic,280,391.2896029170006,33.73204117587573,8.85209087713376,3.13300000130709,3.187312656434495,0.649266039411993,0.9699261738732434,33.40215064367444,0.07414968332156321,False,False,3.437296657017178,0.00442959559075675,24.371330101599245,315.0237662908853,333.63297789815465,6.882302959338694,0.23109779586454413,0.21807983793292163,2327.4705979035407,2903.4817272497958,18.21526990911648
dynamic_diagnostic,281,391.2896395839998,10025.198307494386,7.285626939021851,3.0318301177503417,3.350169115911094,0.829713852810876,0.24510557386200219,23.087410220933435,0.18756764439584628,False,True,9.484361567832183,0.0035191796202696008,11.280811471558978,311.36971292909953,333.8546153105827,7.242700894977054,0.23337085318808082,0.17868830373348443,2000.5322350309361,2415.0473334363787,32.18970436287301
dynamic_diagnostic,282,392.93350583400024,20.38811878908906,7.9021842416471015,1.1321116394110258,1.0637939186297594,0.8337962390977035,0.4817847245423896,18.560627892567467,0.17452272519271875,False,False,5.396654972932862,0.00300821391459464,16.585121229012856,310.58155176810646,331.03466515791445,5.317838842545533,0.3337197601176034,0.22837394405957712,2499.2139862400622,2518.463228976555,21.931747539777223
dynamic_diagnostic,283,394.5385159169964,10039.175450560904,16.235141433014235,4.935644060973329,5.086854121828719,4.283696282277425,8.560135927028703e-05,38.2718030952129,0.12272241480212563,False,True,22.397966592115544,0.0023338960822927323,18.36470917601169,311.38354135066305,333.7061267709848,5.323248415721251,0.28049629127435793,0.2010466901534955,2398.180755963877,2448.093309958849,26.900496710215208
dynamic_diagnostic,284,396.1495026669945,32.900769413421166,9.528027666548335,2.724926984550166,2.7378509926401993,0.5468682522171476,0.8827743597272456,31.30738605567455,0.1629613122669825,False,False,5.51274061835146,0.004375046486749721,15.555679836495528,317.34759802260123,336.13305226663067,6.826069661584351,0.29647356482985077,0.12877271293755344,1842.4288659921158,2367.1528574640115,20.846483640073544
dynamic_diagnostic,285,396.1495676669947,10020.12528256034,8.159496161183153,1.1779895632271626,1.3983953408338183,0.8289930962563766,0.5374001075886858,19.95515803089088,0.053248557014786944,False,True,9.588219318448184,0.0033281498092637635,14.926261714021873,314.54781633782795,333.0790699629616,6.225929945091093,0.3049843878340556,0.4183328334633309,2485.921632573362,2579.779976571004,19.617169174660592
dynamic_diagnostic,286,396.1495956250001,38.29502853543059,9.977407234023396,3.4348960174899696,3.37474753021802,0.5754871913711684,1.0244039962025453,36.23743436682745,0.1851843301777601,False,False,3.101114067552001,0.0035245738159436608,21.00338623755151,316.07629006598944,331.9330053045499,4.922462400430229,0.4184636130487987,0.39085537048887886,3187.5737860021463,2484.7074617150156,17.0500494437628
dynamic_diagnostic,287,396.1496175840002,33.951757148742885,5.501700252710309,4.185825988263003,3.2081014243499753,0.5619570047749392,1.0120995359239409,33.69345257532406,0.06561307966897423,False,False,0.4177276314355031,0.003586828319112024,16.97018012667223,314.5753024879451,333.1416682109299,6.017085829351322,0.27391868168318323,0.9405524457304636,2470.1036912069703,2580.3309104666673,21.649651375543982
dynamic_diagnostic,288,397.9347064169997,36.98553834509032,10.659745459716522,3.167822577060542,3.3046671573358957,0.6626656017902022,0.9882203788734417,35.657857695610446,0.1487548682385373,False,False,5.142785449296565,0.006000806746886764,13.962149683066693,315.12156469661306,332.47946338667504,7.536732885079481,0.2677496770116095,0.6511526529483898,1931.6347241176863,2809.950130617331,13.280876305582195
dynamic_diagnostic,289,399.55469645899575,35.966078896736505,5.96676315031941,4.263172644705261,3.4073017735662408,0.5612033524337569,1.0084470287274632,34.54554887894787,0.15386845127080864,False,False,0.9887590710899047,0.0037170750431608597,12.982715270935504,315.8518573226922,336.61380357718696,6.346283779659096,0.3129401513626355,0.13890784605801146,2205.51850238243,3237.74853236641,21.307741618780817
