Temperature,Resistance,frozen,prior_anchored,prior_amplitude,static_preserving,dynamic_diagnostic
301.462,3640.62,3626.7195626432476,3626.719632008752,3626.7076158985747,3553.4969647892835,3295.7673358986426
300.8525,3686.243,3688.7688802768253,3688.768930121572,3688.759432582239,3615.1773302607276,3350.9752994977243
300.246,3730.963,3751.828361639498,3751.828397496491,3751.820882031106,3677.8779045905176,3407.062522198934
299.6415,3781.103,3816.018445605644,3816.018471415583,3816.0125197961834,3741.7189944051306,3464.1354688569577
299.0515,3839.431,3879.989488084241,3879.989506801037,3879.984767134066,3805.3583748039277,3520.994053886418
298.449,3882.552,3946.6957499875293,3946.6957634626574,3946.692007062,3871.735674013845,3580.263259779244
297.8475,3932.685,4014.7168688710017,4014.7168785737235,4014.713900241731,3939.4387999184482,3640.679557513583
297.246,3978.101,4084.1982411378144,4084.198248121529,4084.1958866294626,4008.6132448303692,3702.3711615139896
296.6585,4023.934,4153.50740754203,4153.507412605521,4153.505529998254,4077.6339598147524,3763.8884050059514
296.0595,4071.89,4225.6803426478755,4225.680346294851,4225.6788520469845,4149.525015888172,3827.9250780665593
295.4605,4115.755,4299.41324552159,4299.413248147467,4299.412062095056,4222.989101746705,3893.322683657644
294.8615,4166.059,4374.745752979364,4374.745754869453,4374.744813402474,4298.06661552987,3960.115296781243
294.2735,4217.583,4450.290092232287,4450.290093600613,4450.289343068915,4373.374856661039,4027.0720280082396
293.671,4264.227,4529.378505811087,4529.3785067935505,4529.377911778002,4452.236781495077,4097.144975070397
293.067,4312.559,4610.415613692557,4610.415614397201,4610.415142919835,4533.0633920642495,4168.918445462323
292.462,4364.999,4693.390897310215,4693.390897815197,4693.390524348777,4615.845374902501,4242.3817186394035
291.857,4416.657,4778.218818198083,4778.218818559889,4778.21852271179,4700.498525530947,4317.457710955732
291.265,4465.904,4863.064011422243,4863.064011683274,4863.063776131319,4785.191616014771,4392.521642176835
290.658,4514.692,4951.998206838397,4951.998207025132,4951.998020548376,4873.990324463221,4471.174353825015
290.051,4575.27,5042.947454738371,5042.947454871927,5042.947307236072,4964.825917992583,4551.579203542779
289.8545,4625.355,5072.8304300727905,5072.830430192609,5072.830293305665,4994.676970533423,4577.991113718422
289.9035,4621.158,5065.358307116163,5065.358307118442,5065.3583062074695,4987.212580845178,4571.387217029541
290.0365,4608.779,5045.145129631654,5045.145129634108,5045.145128675324,4967.021155074198,4553.521715867095
290.3695,4580.166,4994.970806667338,4994.970806670295,4994.970805580484,4916.906113808706,4509.168573087078
290.9595,4539.305,4907.575546588286,4907.575546592394,4907.575545224875,4829.632304084655,4431.89095264274
291.79,4480.225,4787.729017643562,4787.729017650091,4787.729015767565,4709.99055504442,4325.872891473163
292.7445,4410.404,4654.418575972908,4654.418575984023,4654.418573265533,4576.961070408947,4207.880401414607
293.669,4343.199,4529.643923128337,4529.643923146941,4529.643919265899,4452.501478227801,4097.380093010112
294.508,4283.92,4419.970284361106,4419.970284390791,4419.970279029041,4343.147475507555,4000.201688854736
295.234,4230.408,4327.708497660056,4327.708497704525,4327.708490612265,4251.186275222326,3918.413101209247
295.875,4176.324,4248.223000783209,4248.223000846735,4248.2229917673785,4171.98346136837,3847.921814385388
296.46,4128.7,4177.254065482588,4177.2540655705425,4177.254054195232,4101.285823630349,3784.9605294581297
297.0595,4087.325,4106.04383202953,4106.043832152276,4106.043817820363,4030.3660476491386,3721.763098852747
297.681,4039.052,4033.802170150745,4033.802170324125,4033.8021521132837,3958.4380390506217,3657.627302012686
298.3275,3993.768,3960.3197537114543,3960.3197539597368,3960.319730596205,3885.29463174266,3592.3657694991225
298.9865,3943.809,3887.118343561639,3887.1183439195884,3887.118313801226,3812.451322825205,3527.3290810065596
299.632,3897.701,3817.0381133732244,3817.0381138853204,3817.038075261924,3742.733342000142,3465.0418811560357
300.2845,3849.325,3747.7858420228717,3747.785842758187,3747.7857930967975,3673.858041449,3403.4674971941145
300.925,3801.997,3681.3194042972887,3681.3194053458797,3681.3193417909297,3607.7714953551194,3344.348111077112
301.5555,3758.959,3617.3162474361948,3617.3162489229217,3617.316167907327,3544.1511920132302,3287.399001033439
302.18,3716.547,3555.281061790919,3555.281063891351,3555.2809608678303,3482.5033235948063,3232.1812112246353
302.79,3671.288,3495.959480853253,3495.959483796286,3495.959353532663,3423.5673229713652,3179.360301557124
303.4165,3614.242,3436.3107442817677,3436.3107484421084,3436.3105827151558,3364.3215374093033,3126.2295168778583
304.0445,3570.742,3377.78630276921,3377.7863086535644,3377.786097730572,3306.207560995759,3074.081755376761
304.6715,3528.168,3320.5892671509273,3320.589275466622,3320.5890071915214,3249.426387388112,3023.0988297885056
