window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,candidate,dt_ns,source_mV,split
3,200.0,250.0,178.49372172532938,3.026207025083494,2.5014834030487236,1.8055574222620536,0.03477838402526379,frozen,0.0125,100.0,train
0,50.0,100.0,243.27987659592003,3.3349811111638985,2.5939377418010565,0.3565755818270509,0.042345746830720676,frozen,0.0125,150.0,validation
1,100.0,150.0,242.96741893130257,2.3472483692566755,1.775445095055943,0.3320741362318097,0.035437836411771895,frozen,0.0125,150.0,validation
2,150.0,200.0,243.0518399375186,1.923329280689103,1.6134932348913935,0.4806166571662425,0.08464655838876656,frozen,0.0125,150.0,validation
3,200.0,250.0,243.17343323982806,1.510902541812328,1.3474364275145092,0.12946011141674876,0.010528829323535382,frozen,0.0125,150.0,validation
0,50.0,100.0,291.08125124769276,4.338621816866862,2.7732396783420654,1.4486781186950868,0.3742295252871999,frozen,0.0125,200.0,validation
1,100.0,150.0,290.5621991220603,1.6659311817668936,1.4747733839738544,0.027343821148713206,0.00020386186221288405,frozen,0.0125,200.0,validation
2,150.0,200.0,290.7183285333107,2.114265190966705,1.9535008073232802,0.47899095660354657,0.04403805950744011,frozen,0.0125,200.0,validation
3,200.0,250.0,290.9700306120238,2.118156361032561,1.9376231337086551,0.5975237426678597,0.06497581691294685,frozen,0.0125,200.0,validation
0,50.0,100.0,320.1462092307471,7.798078445023009,5.84419689630181,1.1443176656158087,0.10243627831836366,frozen,0.0125,250.0,train
1,100.0,150.0,319.2117448674519,2.8993211823145657,2.5601710760333845,0.024622208968158112,0.00011025315702861693,frozen,0.0125,250.0,train
2,150.0,200.0,319.2735386489938,2.4519800369218956,2.014015029523989,0.256957886525143,0.020392093952428247,frozen,0.0125,250.0,train
3,200.0,250.0,319.39459079267266,2.5277623971304024,2.375350324118415,0.09577378730346012,0.00196982422426617,frozen,0.0125,250.0,train
0,50.0,100.0,315.7118909315177,4.0179191574047195,2.8142776977334165,1.1006386403981179,0.26975957081558943,frozen,0.0125,300.0,train
1,100.0,150.0,315.0839235330997,2.1225809270210902,1.99716342908863,0.15587504466505453,0.007206558783166228,frozen,0.0125,300.0,train
2,150.0,200.0,314.87504625415403,2.4094308892367167,2.0847948500876328,0.34595168036653184,0.036758493917628754,frozen,0.0125,300.0,train
3,200.0,250.0,314.9388573288718,2.2118069664500695,2.121598953607247,0.47514046015609407,0.05800915571667942,frozen,0.0125,300.0,train
0,50.0,100.0,292.5518350392697,2.953468369349139,2.405497717557978,0.33571731738773514,0.02340787976755354,frozen,0.0125,350.0,train
1,100.0,150.0,292.3695246767752,1.7680836024550217,1.5430038602057152,0.11579652651567506,0.006273548668615958,frozen,0.0125,350.0,train
2,150.0,200.0,292.21123821412334,2.303481209363042,1.8853980406885853,0.15702956050815325,0.00764851948604961,frozen,0.0125,350.0,train
3,200.0,250.0,292.154794908769,2.0783236361759236,1.8602420647024474,0.11228166227147043,0.0035856945127556994,frozen,0.0125,350.0,train
0,50.0,100.0,268.1078447241313,2.482623646914419,1.963070785446746,0.3336623704339281,0.030531361609552943,frozen,0.0125,400.0,validation
1,100.0,150.0,267.8494622839242,1.7328869299402072,1.4436816762376452,0.1647358684915558,0.014565061769082677,frozen,0.0125,400.0,validation
2,150.0,200.0,267.8998413358384,1.6406161982393428,1.384297275647441,0.03298891644801589,0.000654037076705638,frozen,0.0125,400.0,validation
3,200.0,250.0,267.88120869722,1.8937247627920897,1.552592679880604,0.22962916275019576,0.025253574870432338,frozen,0.0125,400.0,validation
0,50.0,100.0,245.28439039550972,2.4730556126640124,1.8961126122835594,0.1605739776700321,0.011009221921256307,frozen,0.0125,450.0,validation
1,100.0,150.0,244.98200058173515,2.125799399411335,1.1976739555971108,0.05987169194885323,0.0021632001969504877,frozen,0.0125,450.0,validation
2,150.0,200.0,245.00949331576194,1.4189441893290962,1.2587299724911247,0.14613368391011036,0.01504963514217239,frozen,0.0125,450.0,validation
3,200.0,250.0,244.92880316150152,1.5907900044015264,1.4714862497578736,0.09471842001227508,0.004119926286598297,frozen,0.0125,450.0,validation
0,50.0,100.0,225.52691632404495,2.1983656160313387,1.5936033257778774,0.8454888642514972,0.05137547616334992,frozen,0.0125,500.0,train
1,100.0,150.0,225.40295019657253,1.125322343022475,0.9603378966120033,0.21186263285510318,0.0213171455378538,frozen,0.0125,500.0,train
2,150.0,200.0,225.3282387858066,1.220698990247456,1.0960648836087046,0.08184200738636406,0.002592401832391955,frozen,0.0125,500.0,train
3,200.0,250.0,225.29456093868947,1.032857663808585,0.9666791214298769,0.11211509235452977,0.0069611209848114974,frozen,0.0125,500.0,train
