C_pF,C_th_pJ_per_K,S_e_mW_per_K,name,gamma,replay_step_ns,source_file,source_setting_mV,current_uA,temperature_min_K,temperature_max_K,temperature_mean_K,measured_resistance_mean_ohm,replayed_resistance_mean_ohm,resistance_rmse_ohm,resistance_log_rmse,fraction_above_major_heating_branch,late_invalid_resistance_fraction,outside_temperature_calibration_fraction,smoothing_window
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,50mv0_converted.csv,50.0,37.79944238139679,315.30837131018416,315.32429843547084,315.3172363195334,2317.5257234282963,2511.264788637067,196.53184383326646,0.08164541592936089,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,550mv0_converted.csv,550.0,419.61731636118117,335.3489405707828,335.862278883971,335.6175595178661,441.17624883923725,1051.6059352761447,611.4928217913645,0.8734933550923641,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,600mv0_converted.csv,600.0,458.3699322834958,337.3668350396248,337.79701254624223,337.57123535322063,406.2137219772026,595.7838884108137,191.38084060165272,0.38823223746652813,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,650mv0_converted.csv,650.0,495.4173600492479,339.01004603798634,339.3467487604582,339.186268165615,371.71004807550025,302.2657534155515,71.12480284513619,0.2110408614493644,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,700mv0_converted.csv,700.0,533.4180352284689,340.60579893627124,340.91235720515056,340.76627962429785,340.7151551339026,140.01712882164682,200.9336398946887,0.8898714072551734,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,750mv0_converted.csv,750.0,570.4337430744487,342.38737864087415,342.62316863668144,342.49232892989113,317.67631504893757,62.737434613822714,255.05233352768903,1.622211446405143,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,800mv0_converted.csv,800.0,606.6551780288738,344.1877084192921,344.334152024176,344.2590487552981,298.2108713285761,33.36689271077071,264.8726767239119,2.1902167119207028,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,850mv0_converted.csv,850.0,646.2233016263873,346.0431674023627,346.3005810535329,346.1527256010942,279.40774791155536,22.837663707166616,256.57952313004125,2.5042612729786775,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,900mv0_converted.csv,900.0,682.8259268820619,347.3145425886706,347.49963052103345,347.4227439163849,260.6128530389083,20.396135216892354,240.22256614841166,2.5476827460387006,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,950mv0_converted.csv,950.0,722.372921341621,348.99698981003866,349.3253440859524,349.18487835217127,245.00311323851165,18.937417209738552,226.07260093854032,2.5601179643427545,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,1000mv0_converted.csv,1000.0,759.2191989197131,350.3239035662452,350.62274502771066,350.5172026025015,230.55558060730556,18.489636147376334,212.07601813214777,2.5232568877754358,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,100mv0_converted.csv,100.0,76.17083384633712,317.9183576780293,317.9645603440955,317.94385972308123,2245.5564588875172,2350.921684038521,107.94451538638839,0.04708131250866383,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,1100mv0_converted.csv,1100.0,834.7865599618726,354.0688246140594,354.2922365938447,354.20057680153866,209.96291429798154,18.2445544629994,191.73812621441627,2.4430134700911452,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,1200mv0_converted.csv,1200.0,908.6058899457871,356.9204625337599,357.2684606352398,357.1092970141964,190.4078320014925,18.22008773123864,172.20646275817052,2.34659249419244,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,150mv0_converted.csv,150.0,114.17150902555795,321.811182167639,321.87374163010156,321.84439258016755,2105.387001524954,2135.675486347463,33.03484546775763,0.01561728212447421,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,200mv0_converted.csv,200.0,152.35217904164247,326.6266658230721,326.75185822008086,326.72068715869665,1957.2703914348324,1896.7169709158416,61.35116591063144,0.031812428180952715,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,250mv0_converted.csv,250.0,189.60094286792295,330.7605601442038,330.9408264423609,330.8792823496039,1680.6169070790982,1681.4088424833694,5.269111110116817,0.0031339846652693204,0.40594059405940597,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,2.0,0.5,300mv0_converted.csv,300.0,228.7136509323431,328.5137809612165,329.4533442256637,328.9691973430048,1017.9021323048438,1765.0030009959003,760.610823111977,0.5780191607824248,0.0,0.0,0.0,
