source_setting_mV,current_uA,legacy_detected,legacy_frequency_MHz,late_frequency_MHz,late_peak_frequency_MHz,late_peak_period_cv,late_mean_mV,late_vpp_mV,late_robust_vpp_mV,late_periodic_vpp_mV,late_coherence,minimum_window_periodic_vpp_mV,amplitude_retention,sustained,amplitude_ratio,frequency_relative_error,frequency_comparable,mean_error_mV,retention_log_error,feature_score,candidate,dt_ns
650.0,494.4853744265939,True,74.07407407407408,74.47429405349749,76.92307692307692,0.035355339059327376,135.12406230307778,243.14716384306652,239.4809910337376,229.29116822648203,0.8413722176353926,220.8030202591284,0.9903587983229002,True,12.55141462440974,0.2881040067626228,True,-48.9721766375163,0.09781759364640832,46.7635698417552,best_features,0.025
700.0,532.8566832813709,True,83.33333333333333,85.15803706562973,83.33333333333333,0.03856436170937048,126.14699608049955,195.01987355698066,192.6291545810803,186.56098161167316,0.8804488045069364,184.27264584616876,0.9828769158543105,True,13.824992792934976,0.4300533335511043,True,-55.56508345415395,0.2734501559583123,51.622862305296195,best_features,0.025
750.0,570.0736739678696,True,95.23809523809524,95.76887154557589,95.23809523809524,0.047619047619047616,120.92867360107218,134.22232749745984,131.43684567560712,132.37330236875016,0.9379159934442955,131.60875699610872,0.9662387060305236,True,9.460380157168673,0.5688840162322322,True,-60.1548900622941,0.009098702569412163,42.70828697782112,best_features,0.025
800.0,606.2950294894458,True,105.26315789473684,105.91417099705264,111.11111111111111,0.052613364176465637,115.20075394562222,27.33112494683209,20.83726174894946,17.37632113852039,0.8815272441012892,12.12994289863831,0.18747488172581622,False,2.251873574719225,0.688829023386107,True,-65.68083219299164,-1.7021938676309154,19.396475683913145,best_features,0.025
850.0,645.4819548424252,True,111.11111111111111,123.16884364496384,,,109.56195718540685,0.5660668346150288,0.45618687141940484,0.21650167321734703,0.2952379551709309,0.14195561939685927,0.01679456657263127,False,0.0822447349630237,1.0,False,-70.87580222053377,-4.053593179822216,42.854563780874734,best_features,0.025
900.0,682.444649204679,False,,113.34567325994138,,,104.70055319893267,0.42654054921524676,0.3007999414150504,0.06486989295514817,0.05847112204018923,0.06399201715267727,0.02620861255530055,False,0.05423141048841656,1.0,False,-73.18327947433464,-3.8010529928477874,42.67237000140225,best_features,0.025
950.0,721.2714260182299,False,,31.732479464614073,,,100.01891269293895,0.43364343466716093,0.3392167480627677,0.05256232070676679,0.028501602350384125,0.04052133134423886,0.11284238223845394,False,0.06115760070363262,1.0,False,-76.78425097042734,-2.133189489422435,37.695215949841355,best_features,0.025
1000.0,756.6243660265701,False,,19.99184822033139,,,96.01224327897063,1.2075450283195721,0.8981328372144475,0.112409543952316,0.016537341261802174,0.10770981008223694,0.6344942870582535,False,0.14902564209508465,1.0,False,-78.84293523588084,-0.3644265534195352,34.256984265613234,best_features,0.025
1100.0,834.7865599618726,False,,13.119245002966927,,,88.80954914084295,1.0658354008514976,0.7331159674719174,0.20069275148378757,0.09513404280416982,0.10589176559387282,0.9338949011945433,False,0.09319349750488355,1.0,False,-86.43955709678077,0.30723177796491585,38.30463266985517,best_features,0.025
1200.0,906.8051472486442,False,,30.21017814127394,,,82.83246367529277,1.0824363009995466,0.8970581410874985,0.1050433318258675,0.016359291913530805,0.05569435513934735,0.9168660082353403,False,0.11403233135717614,1.0,False,-90.04806404747951,-0.1802867427852968,37.9937801815325,best_features,0.025
50.0,37.99008122008859,False,,10.52237239158057,,,95.80061280844976,0.5455919963632141,0.512191968474113,0.1551855739052334,0.5073743111737148,0.30872357487606156,0.07711918715231489,False,0.148893014091312,1.0,False,7.324573699538888,-2.4191343418881517,30.84321918018224,best_features,0.0125
100.0,76.17083384633712,False,,10.816677273778328,,,178.7851204893517,0.38211087493277773,0.3150112608858251,0.14362593278130412,0.49756495098936193,0.2404146027306562,0.03007546604888154,False,0.061206454793522935,1.0,False,7.642153162619024,-4.060857427062719,39.697609688951985,best_features,0.0125
