window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate_id,C_pF,tau_th_ns,C_th_pJ_per_K,gamma
1,100.0,150.0,223.0605447616668,1.06954542517542,0.7918967207414482,0.19392505123029422,0.010102959209244422,500.0,380.88580812995247,37,2.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,222.76662656104185,0.8734025542782717,0.7486473035329482,0.14777793169761516,0.012888085036807606,500.0,380.88580812995247,37,2.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,222.57533091226077,0.7194413756229778,0.6505498400802026,0.26234647575295295,0.03152108146410393,500.0,380.88580812995247,37,2.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,149.86982213196708,1.1077360879934588,1.0039106342509285,0.5921443163482799,0.014484523273743388,800.0,606.2950294894458,37,2.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,149.66142016092604,0.9943692688260626,0.8396181784989949,0.19417449248584912,0.005477093804535094,800.0,606.2950294894458,37,2.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,149.59979106610984,1.1067099609034017,0.9733949605379166,0.5472841076802053,0.045587685954627144,800.0,606.2950294894458,37,2.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,149.6518463471102,1.142546937141958,0.9970445829667085,0.9345885810201982,0.049891478149408974,800.0,606.2950294894458,37,2.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,324.61653309379,106.62502401731126,92.19208964046874,60.21952646329885,0.822146293896813,300.0,228.15229898524512,38,4.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,317.27290473313536,4.0011114671530095,3.115715286236366,1.8337353846838902,0.7195661216463306,300.0,228.15229898524512,38,4.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,317.0051249275158,1.0769367760224782,0.984977750140331,0.638326984154994,0.8362289622812417,300.0,228.15229898524512,38,4.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,316.8955520957002,0.7158506400258489,0.6288920947226302,0.46143218544279624,0.7511233844073053,300.0,228.15229898524512,38,4.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,217.43918958705467,62.98388841612419,52.87898761002586,127.139750922556,0.33010513215638015,500.0,380.88580812995247,38,4.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,214.46544070337183,1.9207294515633748,1.3253625698460496,2.7930773074421302,0.1895910882858718,500.0,380.88580812995247,38,4.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,214.15690643020906,0.5197238680330543,0.42825217257998816,0.28776320873449907,0.023463916248656735,500.0,380.88580812995247,38,4.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,213.96520900394185,0.42100178344185224,0.357769913049367,0.24751980524919626,0.08325898081671079,500.0,380.88580812995247,38,4.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,115.56356379170674,0.7399763530845149,0.65058007152426,0.47584881936237,0.020127614777093794,800.0,606.2950294894458,38,4.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,115.41535679837162,0.6554357334184715,0.5417327840675767,0.1961762976577205,0.023151101021019804,800.0,606.2950294894458,38,4.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,115.36128155922108,0.6755442785921133,0.5854858790656294,0.33241306795742903,0.0604156709815199,800.0,606.2950294894458,38,4.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,115.40526411119953,0.6655153982577247,0.5967996707967558,0.6233598295688382,0.0738521469737089,800.0,606.2950294894458,38,4.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,322.5388614724614,187.177271402169,181.9798068871959,161.7151267979777,0.9389860932034624,300.0,228.15229898524512,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,324.0830775204513,27.57054483598364,27.005565546352955,24.41590034776984,0.9811027428868111,300.0,228.15229898524512,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,318.3297878258464,8.563878716716033,7.000089072355934,7.082818531368911,0.9776545202934536,300.0,228.15229898524512,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,317.81657805795044,1.2949416603531176,1.2398477900145508,0.9438045582286038,0.884249292323919,300.0,228.15229898524512,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,139.01087589299073,225.20009079627962,214.78092006921966,81.7911881601964,0.30236515582839296,500.0,380.88580812995247,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,167.08612208249542,43.34955064297523,35.7348809551973,26.178268229852417,0.8045422825203064,500.0,380.88580812995247,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,167.62439440272922,8.723736306879772,6.880669959765925,4.880264958542698,0.7741386454400521,500.0,380.88580812995247,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,167.39493303072962,1.3772548585697564,0.9584014397102294,0.7585890001494113,0.7900955318408058,500.0,380.88580812995247,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,115.26495971507966,3.2401601114646894,1.8709546404715098,0.4465396158836343,0.07679519929048328,800.0,606.2950294894458,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,115.47836820336761,0.6647538791747394,0.36314221892918397,0.08732245243820884,0.06481569954740374,800.0,606.2950294894458,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,115.40944969862308,0.4438086932988625,0.3716247140770861,0.14696443215078192,0.16518186932162737,800.0,606.2950294894458,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,115.46196911419422,0.4619578994077074,0.3497482371515588,0.08360671542510498,0.05347728181372147,800.0,606.2950294894458,39,6.835494476281913,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,315.21275602492176,225.39893978963113,221.96688255245192,825.7259956065118,0.8695806081860473,300.0,228.15229898524512,40,8.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,329.4883819216509,48.02483218822948,46.54063136417898,124.10651121218196,0.9942014436131562,300.0,228.15229898524512,40,8.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,316.34899833170743,24.653762673894164,23.72952196302998,29.708275822510572,0.970414578012347,300.0,228.15229898524512,40,8.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,317.09404058508403,4.698932986427565,4.119195436325299,17.671466590942444,0.9960773093808042,300.0,228.15229898524512,40,8.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,132.39438917448896,247.93934029513267,240.08867249725287,86.82254394583906,0.2692479675923132,500.0,380.88580812995247,40,8.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,164.3042089487787,111.45870024524702,103.27274820904219,100.03678370627054,0.9596905213955633,500.0,380.88580812995247,40,8.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,166.0844212805832,74.26712442689771,65.46851924679027,65.96495895160737,0.9841468486834765,500.0,380.88580812995247,40,8.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,170.4001214573184,49.030918687819224,45.460495929718576,44.64564906442269,0.9848911904144743,500.0,380.88580812995247,40,8.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,115.24294108677265,16.534943255700696,6.3448793419259175,1.5302535136052666,0.0498789111112784,800.0,606.2950294894458,40,8.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,115.39114577550772,0.3964163926630988,0.3282486716629336,0.10533183435939318,0.11482648434977638,800.0,606.2950294894458,40,8.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,115.331252549242,0.39461274306138705,0.3354617383184717,0.15386472951660285,0.23336373778835096,800.0,606.2950294894458,40,8.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,115.37718162072724,0.38905400598129347,0.3118742707638802,0.07513282155774352,0.05745048304871392,800.0,606.2950294894458,40,8.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,300.62898024243964,383.5208214248062,374.34047146167813,235.17995240735593,0.6234714092360512,300.0,228.15229898524512,41,12.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,249.7236855863887,187.10340280361754,168.02021575955868,166.89272362911638,0.8752992842152616,300.0,228.15229898524512,41,12.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,230.7254086334962,258.05008773883907,255.5884994321126,107.7507686760919,0.8408563077725725,300.0,228.15229898524512,41,12.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,217.0713824140338,249.04426160855385,238.81720192604274,325.5049601616034,0.8420063168288802,300.0,228.15229898524512,41,12.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,115.76555894442762,523.4456530441225,307.59420420929797,181.11479032787986,0.3127933339899891,500.0,380.88580812995247,41,12.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,165.5806238193736,292.3541596129643,275.5151341114939,255.36041465192022,0.8657856400118109,500.0,380.88580812995247,41,12.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,151.86064775499798,292.34625520107664,286.97901730317074,286.4057132968118,0.8162929943124525,500.0,380.88580812995247,41,12.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,181.97108279953255,291.76586334130735,287.24605515834895,285.7005775875604,0.8131830180597183,500.0,380.88580812995247,41,12.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,114.68350774157743,102.6452348735728,65.04903199630593,106.54176397344892,0.06807089612338535,800.0,606.2950294894458,41,12.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,115.42902421919476,8.506567636664244,6.164210828137584,2.4587988979877275,0.005002319282393919,800.0,606.2950294894458,41,12.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,115.32136091769748,0.6205207105011681,0.46146689238167937,1.3067178198214209,0.46848650040341666,800.0,606.2950294894458,41,12.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,115.36431021810371,0.32850381848084,0.2644125850485466,0.7714963776357947,0.30931856472855435,800.0,606.2950294894458,41,12.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,319.0315938596102,2.9650580557290596,2.5229619699871932,0.31824583936213274,0.015538160979669424,300.0,228.15229898524512,42,0.0,6.0,0.0222765722605632,0.5
1,100.0,150.0,318.79872997509233,2.6196792201468497,2.2326541409021843,0.058308604559194954,0.00052041796352853,300.0,228.15229898524512,42,0.0,6.0,0.0222765722605632,0.5
2,150.0,200.0,318.795525600096,2.777060398718959,2.629813169170575,0.22529122956033215,0.006648129464826957,300.0,228.15229898524512,42,0.0,6.0,0.0222765722605632,0.5
3,200.0,250.0,318.7184575000437,3.1430624863786534,2.523054290476182,0.2476010114101501,0.00762366926426139,300.0,228.15229898524512,42,0.0,6.0,0.0222765722605632,0.5
0,50.0,100.0,226.9326083879762,2.09623170100204,1.7338962400331184,0.7438708334861598,0.07187739434428775,500.0,380.88580812995247,42,0.0,6.0,0.0222765722605632,0.5
1,100.0,150.0,226.48089245306758,1.403821613175353,1.1950498461837356,0.38814363162875715,0.005342320813648271,500.0,380.88580812995247,42,0.0,6.0,0.0222765722605632,0.5
