window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate,dt_ns
2,150.0,200.0,291.6382019855671,0.4899507131329983,0.45070055499627415,0.2506354976782989,0.7747650294944531,200.0,152.16154020295048,reference,0.0125
3,200.0,250.0,291.9151903452416,0.6112145230757164,0.5381751084146345,0.3334838948589933,0.8717857156298017,200.0,152.16154020295048,reference,0.0125
0,50.0,100.0,327.3942927543543,35.77554252141539,33.89285614108098,18.693165316352143,0.9951183507121172,250.0,189.60094286792295,reference,0.0125
1,100.0,150.0,321.0844922638936,1.8974847619734874,1.4141590387769725,1.4504181576843462,0.9593393354232038,250.0,189.60094286792295,reference,0.0125
2,150.0,200.0,321.06696408366656,0.4113310601860576,0.3669002558874581,0.3576733035039041,0.40673320067696994,250.0,189.60094286792295,reference,0.0125
3,200.0,250.0,321.16248476855725,0.30887290226451114,0.28301250505194275,0.1846665009673402,0.45017875761086246,250.0,189.60094286792295,reference,0.0125
0,50.0,100.0,209.46596157394396,358.9710505339637,308.2384915380991,250.65242444345944,0.6797793375721568,300.0,228.15229898524512,reference,0.0125
1,100.0,150.0,253.90898783351113,275.12141445102804,254.8236417726532,220.43609048649225,0.7753343709648157,300.0,228.15229898524512,reference,0.0125
2,150.0,200.0,215.09768358754397,238.60816044068986,222.63066415087502,193.81621109538767,0.8479137693551551,300.0,228.15229898524512,reference,0.0125
3,200.0,250.0,236.49008447678494,232.352191429303,222.52946401307494,152.93818201321074,0.791347808723591,300.0,228.15229898524512,reference,0.0125
0,50.0,100.0,244.0031486859628,348.6832083827184,333.9373516189598,178.31943096875582,0.6067894458297822,350.0,266.70376233691485,reference,0.0125
1,100.0,150.0,201.67826585255253,337.10461583272996,298.92636697755535,231.91421400228046,0.6746096266929844,350.0,266.70376233691485,reference,0.0125
2,150.0,200.0,225.3656113519122,283.6599153033469,256.35109675027303,210.53098562480605,0.7325497578537825,350.0,266.70376233691485,reference,0.0125
