window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,fit_mode,source_setting_mV
0,50.0,100.0,164.45445825891065,1.3621595196542842,1.2944734822652038,0.660574298323153,0.013079943204586386,constrained,800.0
1,100.0,150.0,164.22319314014592,1.302362138387025,1.0708487959333866,0.2863784515977012,0.004431015535400151,constrained,800.0
2,150.0,200.0,164.14988791153067,1.2606817618926698,1.12345978832451,0.6601901352848277,0.04295601990007081,constrained,800.0
3,200.0,250.0,164.20858053748213,1.2690719922181586,1.0228221663076908,1.3065275676067296,0.0490661895410166,constrained,800.0
0,50.0,100.0,155.94481461096595,1.4111233911544048,1.3441980100653552,0.1624341201638416,0.015690668128949148,constrained,850.0
1,100.0,150.0,155.7775669005995,1.6320223981484219,1.3807827188073247,0.0399245572875328,0.0010145324293840963,constrained,850.0
2,150.0,200.0,155.6787160638604,1.2963859120314964,1.2579633976137075,0.07982532265137073,0.004366901604926143,constrained,850.0
3,200.0,250.0,155.61273935205736,1.4338914107422909,1.2193657169313497,0.05045211463920628,0.0015108224517610402,constrained,850.0
0,50.0,100.0,148.60312388410165,1.4076998181628824,1.274041628279548,0.13919026510279653,0.004864173272790762,constrained,900.0
1,100.0,150.0,148.49652382262408,1.1812885132335964,1.1418345015669331,0.06972066245700051,0.0014603507281037986,constrained,900.0
2,150.0,200.0,148.47475094099343,1.276950443974215,1.1205352142588083,0.07357886519508201,0.003984692330030071,constrained,900.0
3,200.0,250.0,148.3920590366983,1.348271828617385,1.2872492144429941,0.34544849907156244,0.01617089882069689,constrained,900.0
0,50.0,100.0,141.78746263312243,1.631066744266235,1.2962676864176785,0.12296186342049129,0.013749785131581871,constrained,950.0
1,100.0,150.0,141.5030902865714,1.2329814915661643,1.1477960989531084,0.10926922163645433,0.009785018785982036,constrained,950.0
2,150.0,200.0,141.4781508239737,1.320781841448337,1.1949786882086073,0.05234675376434464,0.0018632620772675024,constrained,950.0
3,200.0,250.0,141.51364664180744,1.3066121417331829,1.214694027069953,0.06097405787365845,0.002545572535821994,constrained,950.0
0,50.0,100.0,137.14383055651885,4.757385830517251,3.067589935563433,1.107585316570827,0.1615543275329835,constrained,1000.0
1,100.0,150.0,141.26512407659592,11.208559078749033,9.010399124383582,4.340912499571582,0.4120353629542227,constrained,1000.0
2,150.0,200.0,158.62243291009494,44.10833402551242,36.84462022964783,19.918308150598392,0.5028620625439151,constrained,1000.0
3,200.0,250.0,212.03512083687392,216.18703758573122,153.8318790241643,85.34753231841954,0.38792202796473285,constrained,1000.0
0,50.0,100.0,125.50549093129348,3.0625217247460057,2.307890762227686,0.9112407061838227,0.023283735519583515,constrained,1100.0
1,100.0,150.0,125.75644892529024,4.372833399794217,3.2986470664573204,2.7763298223830817,0.0981171731688022,constrained,1100.0
2,150.0,200.0,129.7783949304999,9.835158733946571,7.319301865141881,3.978906335800883,0.23018251137320023,constrained,1100.0
3,200.0,250.0,134.03090091334806,18.388715634373114,16.109756338917123,4.985932519202639,0.0814703822102506,constrained,1100.0
0,50.0,100.0,116.38977829533243,1.4492633463278821,1.3595577750997023,0.28332158092292387,0.03827958007999199,constrained,1200.0
1,100.0,150.0,116.34583897968743,1.9346664334466368,1.0365282261887643,0.06544249881296792,0.0031324676718442745,constrained,1200.0
2,150.0,200.0,116.23125128376778,1.248015476015354,1.0397874953619777,0.2885599687113274,0.04581307155200509,constrained,1200.0
3,200.0,250.0,116.43418842393305,2.4573516178586488,1.516026166962206,0.5662515223785574,0.09196560214346916,constrained,1200.0
0,50.0,100.0,94.25061815042748,4.078932265043164,3.428573715380068,3.356876979104707,0.9350996049440162,relaxed,50.0
1,100.0,150.0,95.71986408107551,0.5303925257670841,0.42395924875567914,1.100081802250923,0.5763856012811539,relaxed,50.0
2,150.0,200.0,95.64819236197762,0.23075272429427685,0.18944315305147086,0.41830598658532897,0.1526962563128652,relaxed,50.0
3,200.0,250.0,95.92098461581664,0.4774339694664036,0.43239093104277515,0.3264427735787601,0.3327210381024348,relaxed,50.0
0,50.0,100.0,177.24668642085322,7.523716280315142,6.006634474733232,9.115559061697436,0.9876279750988377,relaxed,100.0
1,100.0,150.0,178.66059166084037,0.38896543870612277,0.34862825790270335,0.4987320281245847,0.3155231047567765,relaxed,100.0
